station id,station name,latitude,longitude
317.0,E 6 St & Avenue B,40.72453734,-73.98185424
319.0,Fulton St & Broadway,40.711065999999995,-74.009447
320.0,Leonard St & Church St,40.717571,-74.005549
321.0,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773
322.0,Clinton St & Tillary St,40.696191999999996,-73.991218
323.0,Lawrence St & Willoughby St,40.69236178,-73.98631746
324.0,DeKalb Ave & Hudson Ave,40.689888,-73.981013
325.0,E 19 St & 3 Ave,40.73624527,-73.98473765
326.0,E 11 St & 1 Ave,40.72953837,-73.98426726
327.0,Vesey Pl & River Terrace,40.715337899999994,-74.01658354
328.0,Watts St & Greenwich St,40.72405549,-74.00965965
330.0,Reade St & Broadway,40.71450451,-74.00562789
331.0,Pike St & Monroe St,40.71173107,-73.99193043
332.0,Cherry St,40.71219906,-73.97948148
334.0,W 20 St & 7 Ave,40.74238787,-73.99726235
335.0,Washington Pl & Broadway,40.72903917,-73.99404649
336.0,Sullivan St & Washington Sq,40.73047747,-73.99906065
337.0,Old Slip & Front St,40.703799200000006,-74.00838676
339.0,Avenue D & E 12 St,40.72580614,-73.97422494
340.0,Madison St & Clinton St,40.71269042,-73.98776323
341.0,Stanton St & Mangin St,40.71782143,-73.97628939
342.0,Columbia St & Rivington St,40.71739973,-73.98016555
343.0,Clinton Ave & Flushing Ave,40.69794,-73.96986848
344.0,Monroe St & Bedford Ave,40.6851443,-73.95380904
345.0,W 13 St & 6 Ave,40.73649403,-73.99704374
346.0,Bank St & Hudson St,40.73652889,-74.00618026
347.0,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001
349.0,Rivington St & Ridge St,40.71850211,-73.98329859
350.0,Clinton St & Grand St,40.71559509,-73.9870295
351.0,Front St & Maiden Ln,40.70530954,-74.00612572
353.0,S Portland Ave & Hanson Pl,40.68539567,-73.97431458
354.0,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558
355.0,Bayard St & Baxter St,40.71602118,-73.99974372
356.0,Bialystoker Pl & Delancey St,40.71622644,-73.98261206
357.0,E 11 St & Broadway,40.73261787,-73.99158043
358.0,Christopher St & Greenwich St,40.73291553,-74.00711384
359.0,E 47 St & Park Ave,40.75510267,-73.97498696
360.0,William St & Pine St,40.70717936,-74.00887308
361.0,Allen St & Hester St,40.71605866,-73.99190759
362.0,Broadway & W 37 St,40.75172632,-73.98753523
363.0,West Thames St,40.70834698,-74.01713445
364.0,Lafayette Ave & Classon Ave,40.68900443,-73.96023854
365.0,Fulton St & Grand Ave,40.68223166,-73.9614583
366.0,Clinton Ave & Myrtle Ave,40.693261,-73.968896
367.0,E 53 St & Lexington Ave,40.75828065,-73.97069431
368.0,Carmine St & 6 Ave,40.73038599,-74.00214988
369.0,Washington Pl & 6 Ave,40.73224119,-74.00026394
372.0,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519
373.0,Willoughby Ave & Walworth St,40.69331716,-73.95381995
376.0,John St & William St,40.70862144,-74.00722156
377.0,6 Ave & Canal St,40.72243797,-74.00566443
379.0,W 31 St & 7 Ave,40.749156,-73.9916
380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877
382.0,University Pl & E 14 St (old),40.73492695,-73.99200509
383.0,Greenwich Ave & Charles St,40.735238,-74.000271
385.0,E 55 St & 2 Ave,40.75797322,-73.96603308
386.0,Centre St & Worth St,40.71494807,-74.00234482
387.0,Centre St & Chambers St,40.71273266,-74.0046073
388.0,W 26 St & 10 Ave,40.749717753,-74.002950346
389.0,Broadway & Berry St,40.71044554,-73.96525063
390.0,Duffield St & Willoughby St,40.69221589,-73.9842844
391.0,Clark St & Henry St,40.69760127,-73.99344559
392.0,Jay St & Tech Pl,40.695065,-73.987167
393.0,E 5 St & Avenue C,40.72299208,-73.97995466
394.0,E 9 St & Avenue C,40.72521311,-73.97768752
396.0,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392
397.0,Fulton St & Clermont Ave,40.68415748,-73.96922273
398.0,Atlantic Ave & Furman St,40.69165183,-73.99997859999999
399.0,Lafayette Ave & St James Pl,40.68851534,-73.9647628
400.0,Pitt St & Stanton St,40.71926081,-73.98178024
401.0,Allen St & Rivington St,40.72019576,-73.98997825
402.0,Broadway & E 22 St,40.740343200000005,-73.98955109
403.0,E 2 St & 2 Ave,40.72502876,-73.99069656
405.0,Washington St & Gansevoort St,40.739323,-74.008119
406.0,Hicks St & Montague St,40.69512845,-73.99595065
407.0,Henry St & Poplar St,40.700469,-73.991454
408.0,Market St & Cherry St,40.71076228,-73.99400398
409.0,DeKalb Ave & Skillman St,40.6906495,-73.95643107
410.0,Suffolk St & Stanton St,40.72066442,-73.98517977
411.0,E 6 St & Avenue D,40.72228087,-73.97668709
412.0,Forsyth St & Canal St,40.715815500000005,-73.99422366
414.0,Pearl St & Anchorage Pl,40.70281858,-73.98765762
415.0,Pearl St & Hanover Square,40.7047177,-74.00926027
416.0,Cumberland St & Lafayette Ave,40.68753406,-73.97265183
417.0,Barclay St & Church St,40.71291224,-74.01020234
418.0,Front St & Gold St,40.70224,-73.982578
419.0,Carlton Ave & Park Ave,40.69580705,-73.97355569
420.0,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902
421.0,Clermont Ave & Park Ave,40.69573398,-73.97129668
422.0,W 59 St & 10 Ave,40.770513,-73.988038
423.0,W 54 St & 9 Ave,40.76584941,-73.98690506
426.0,West St & Chambers St,40.71754834,-74.01322069
427.0,Bus Slip & State St,40.701907,-74.013942
428.0,E 3 St & 1 Ave,40.72467721,-73.98783413
430.0,York St & Jay St,40.7014851,-73.98656928
432.0,E 7 St & Avenue A,40.72621788,-73.98379855
433.0,old - E 13 St & Avenue A,40.72955361,-73.98057249
434.0,9 Ave & W 18 St,40.74317449,-74.00366443
435.0,W 21 St & 6 Ave,40.74173969,-73.99415556
436.0,Hancock St & Bedford Ave,40.68216564,-73.95399026
437.0,Macon St & Nostrand Ave,40.6809833854,-73.9500479759
438.0,St Marks Pl & 1 Ave,40.72779126,-73.98564945
439.0,E 4 St & 2 Ave,40.726280700000004,-73.98978041
440.0,E 45 St & 3 Ave,40.75255434,-73.97282625
441.0,E 52 St & 2 Ave,40.756014,-73.967416
442.0,W 27 St & 7 Ave,40.746646999999996,-73.993915
443.0,Bedford Ave & S 9 St,40.70853074,-73.96408963
445.0,E 10 St & Avenue A,40.72740794,-73.98142006
446.0,W 24 St & 7 Ave,40.74487634,-73.99529885
447.0,8 Ave & W 52 St,40.76370739,-73.9851615
448.0,W 37 St & 10 Ave,40.75660359,-73.9979009
449.0,W 52 St & 9 Ave,40.76461837,-73.98789473
450.0,W 49 St & 8 Ave,40.76227205,-73.98788205
453.0,W 22 St & 8 Ave,40.74475148,-73.99915362
454.0,E 51 St & 1 Ave,40.75455731,-73.96592976
455.0,1 Ave & E 44 St,40.75001986,-73.96905301
456.0,E 53 St & Madison Ave,40.75971079999999,-73.97402311
457.0,Broadway & W 58 St,40.76695317,-73.98169333
458.0,11 Ave & W 27 St,40.751396,-74.00522600000001
459.0,W 20 St & 11 Ave,40.746745000000004,-74.007756
460.0,S 4 St & Wythe Ave,40.71285887,-73.96590294
461.0,E 20 St & 2 Ave,40.73587678,-73.98205027
462.0,W 22 St & 10 Ave,40.74691959,-74.00451887
464.0,E 56 St & 3 Ave,40.75934501,-73.96759673
465.0,Broadway & W 41 St,40.75513557,-73.98658032
466.0,W 25 St & 6 Ave,40.74395411,-73.99144871
467.0,Dean St & 4 Ave,40.68312489,-73.97895137
468.0,Broadway & W 56 St,40.7652654,-73.98192338
469.0,Broadway & W 53 St,40.76344058,-73.98268129
470.0,W 20 St & 8 Ave,40.74345335,-74.00004031
471.0,Grand St & Havemeyer St,40.71286844,-73.95698119
472.0,E 32 St & Park Ave,40.745712100000006,-73.98194829
473.0,Rivington St & Chrystie St,40.72110063,-73.99192540000001
474.0,5 Ave & E 29 St,40.7451677,-73.98683077
476.0,E 31 St & 3 Ave,40.74394314,-73.97966069
477.0,W 41 St & 8 Ave,40.75640548,-73.9900262
478.0,11 Ave & W 41 St,40.76030096,-73.99884222
479.0,9 Ave & W 45 St,40.76019252,-73.9912551
480.0,W 53 St & 10 Ave,40.76669671,-73.99061728
481.0,S 3 St & Bedford Ave,40.71260486,-73.96264403
482.0,W 15 St & 7 Ave,40.73935542,-73.99931783
483.0,E 12 St & 3 Ave,40.73223272,-73.98889957
484.0,W 44 St & 5 Ave,40.75500254,-73.98014437
485.0,W 37 St & 5 Ave,40.75038009,-73.98338988
486.0,Broadway & W 29 St,40.7462009,-73.98855723
487.0,E 20 St & FDR Drive,40.73314259,-73.97573881
488.0,W 39 St & 9 Ave,40.75645824,-73.99372222
489.0,10 Ave & W 28 St,40.75066386,-74.00176802
490.0,8 Ave & W 33 St,40.751551,-73.993934
491.0,E 24 St & Park Ave S,40.74096374,-73.98602213
492.0,W 33 St & 7 Ave,40.75019995,-73.99093085
493.0,W 45 St & 6 Ave,40.7568001,-73.98291153
494.0,W 26 St & 8 Ave,40.74734825,-73.99723551
495.0,W 47 St & 10 Ave,40.76269882,-73.99301222
496.0,E 16 St & 5 Ave,40.73726186,-73.99238967
497.0,E 17 St & Broadway,40.73704984,-73.99009296
498.0,Broadway & W 32 St,40.74854862,-73.98808416
499.0,Broadway & W 60 St,40.76915505,-73.98191841
500.0,Broadway & W 51 St,40.76228826,-73.98336183
501.0,FDR Drive & E 35 St,40.744219,-73.97121214
502.0,Henry St & Grand St,40.714211,-73.981095
503.0,E 20 St & Park Ave,40.73827428,-73.98751968
504.0,1 Ave & E 16 St,40.73221853,-73.98165557
505.0,6 Ave & W 33 St,40.74901271,-73.98848395
507.0,E 25 St & 2 Ave,40.73912601,-73.97973776
508.0,W 46 St & 11 Ave,40.76341379,-73.99667444
509.0,9 Ave & W 22 St,40.7454973,-74.00197139
513.0,W 56 St & 10 Ave,40.768254,-73.988639
514.0,12 Ave & W 40 St,40.76087502,-74.00277668
515.0,W 43 St & 10 Ave,40.76009437,-73.99461843
516.0,E 47 St & 1 Ave,40.75206862,-73.96784384
517.0,Pershing Square South,40.751581,-73.97791
518.0,E 39 St & 2 Ave,40.74780373,-73.97344190000001
519.0,Pershing Square North,40.751872999999996,-73.97770600000001
520.0,W 52 St & 5 Ave,40.75992262,-73.97648516
522.0,E 51 St & Lexington Ave,40.75714758,-73.97207836
523.0,W 38 St & 8 Ave,40.75466591,-73.99138152
524.0,W 43 St & 6 Ave,40.75527307,-73.98316936
525.0,W 34 St & 11 Ave,40.75594159,-74.0021163
526.0,E 33 St & 5 Ave,40.74765947,-73.98490707
527.0,E 33 St & 2 Ave,40.744023,-73.976056
528.0,2 Ave & E 31 St,40.74290902,-73.97706058
529.0,W 42 St & 8 Ave,40.75756989999999,-73.99098507
530.0,11 Ave & W 59 St,40.771496710544405,-73.99046033620834
531.0,Forsyth St & Broome St,40.71893904,-73.99266288
532.0,S 5 Pl & S 5 St,40.710451,-73.960876
533.0,Broadway & W 38 St,40.75299641,-73.98721619
534.0,Water - Whitehall Plaza,40.70255065,-74.0127234
536.0,1 Ave & E 30 St,40.74144387,-73.97536082
537.0,Lexington Ave & E 24 St,40.74025878,-73.98409214
539.0,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116
540.0,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922
545.0,E 23 St & 1 Ave,40.736502,-73.97809472
546.0,E 30 St & Park Ave S,40.74444921,-73.98303529
2000.0,Front St & Washington St,40.70255088,-73.98940236
2001.0,Sands St & Navy St,40.699773,-73.979927
2002.0,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999
2003.0,1 Ave & E 18 St,40.73381219196632,-73.9805442094803
2005.0,Railroad Ave & Kay Ave,40.70531194,-73.97100056
2006.0,Central Park S & 6 Ave,40.76590936,-73.97634151
2008.0,Little West St & 1 Pl,40.70569254,-74.01677685
2009.0,Catherine St & Monroe St,40.71117444,-73.99682619
2010.0,Grand St & Greene St,40.72170005235607,-74.00238141417502
2012.0,E 27 St & 1 Ave,40.739445,-73.97680600000001
2017.0,E 43 St & 2 Ave,40.75022392,-73.97121414
2021.0,W 45 St & 8 Ave,40.75929124,-73.98859651
2022.0,E 60 St & York Ave,40.759107,-73.959223
2023.0,E 55 St & Lexington Ave,40.75968085,-73.97031366
3002.0,South End Ave & Liberty St,40.711512,-74.01575600000001
3016.0,Kent Ave & N 7 St,40.72036775298455,-73.96165072917937
3036.0,8D OPS 01,40.66290776831685,-73.99972200393677
3040.0,Handlebar @ Gowanus,40.66979964220026,-73.99497985839844
3041.0,Kingston Ave & Herkimer St,40.67890679,-73.94142771
3042.0,Fulton St & Utica Ave,40.6794268,-73.92989109999999
3043.0,Lewis Ave & Decatur St,40.6814598,-73.934903
3044.0,Albany Ave & Fulton St,40.6800105,-73.938475
3046.0,Marcus Garvey Blvd & Macon St,40.682601,-73.938037
3047.0,Halsey St & Tompkins Ave,40.682368700000005,-73.944118
3048.0,Putnam Ave & Nostrand Ave,40.684020000000004,-73.94977
3049.0,Cambridge Pl & Gates Ave,40.68488,-73.96304
3050.0,Putnam Ave & Throop Ave,40.6851532,-73.94111
3052.0,Lewis Ave & Madison St,40.686312,-73.935775
3053.0,Marcy Ave & Lafayette Ave,40.6900815,-73.94791500000001
3054.0,Greene Ave & Throop Ave,40.6894932,-73.942061
3055.0,Greene Ave & Nostrand Ave,40.68833370000001,-73.950916
3056.0,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465
3057.0,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416
3058.0,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428
3059.0,Pulaski St & Marcus Garvey Blvd,40.693398200000004,-73.939877
3060.0,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915
3061.0,Throop Ave & Myrtle Ave,40.69622937,-73.94371094
3062.0,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908
3063.0,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108
3064.0,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926
3065.0,Union Ave & Wallabout St,40.70029511,-73.95032283
3066.0,Tompkins Ave & Hopkins St,40.69957608,-73.94708417
3067.0,Broadway & Whipple St,40.7016657,-73.9437303
3068.0,Humboldt St & Varet St,40.7031724,-73.940636
3069.0,Lorimer St & Broadway,40.70411791,-73.94818595
3070.0,McKibbin St & Manhattan Ave,40.70510918,-73.94407279
3071.0,Boerum St & Broadway,40.70538077,-73.94976519
3072.0,Leonard St & Boerum St,40.70583339,-73.94644578
3073.0,Division Ave & Hooper St,40.70691254,-73.95441667
3074.0,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171
3075.0,Division Ave & Marcy Ave,40.70708701,-73.95796783
3076.0,Scholes St & Manhattan Ave,40.70870368,-73.9448625
3077.0,Stagg St & Union Ave,40.70877084,-73.95095259
3078.0,Broadway & Roebling St,40.70924826276157,-73.96063148975372
3080.0,S 4 St & Rodney St,40.709340000000005,-73.95608
3081.0,Graham Ave & Grand St,40.711863,-73.944024
3082.0,Hope St & Union Ave,40.71167351,-73.95141312
3083.0,Bushwick Ave & Powers St,40.71247661,-73.94100005
3085.0,Roebling St & N 4 St,40.714690000000004,-73.95739
3086.0,Graham Ave & Conselyea St,40.715143,-73.944507
3087.0,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386
3088.0,Union Ave & Jackson St,40.7160751,-73.95202900000001
3090.0,N 8 St & Driggs Ave,40.71774592,-73.95600096
3091.0,Frost St & Meeker St,40.71764,-73.94882
3092.0,Berry St & N 8 St,40.7190095,-73.95852515
3093.0,N 6 St & Bedford Ave,40.71745169,-73.95850939
3094.0,Graham Ave & Withers St,40.7169811,-73.94485918
3095.0,Graham Ave & Herbert St,40.71929301,-73.94500379
